candidate_id,rF_below,rF_above,flip_ok,class_5B,tainted_any,unbounded_any
1,0.043,0.047,FALSE,FAIL_NO_CYCLE,FALSE,FALSE
10,0.08049999999999999,0.08449999999999999,FALSE,FAIL_NO_CYCLE,FALSE,FALSE
11,0.08049999999999999,0.08449999999999999,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
12,0.08049999999999999,0.08449999999999999,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
13,0.08049999999999999,0.08449999999999999,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
14,0.08049999999999999,0.08449999999999999,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
15,0.08049999999999999,0.08449999999999999,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
16,0.1055,0.1095,FALSE,FAIL_NO_CYCLE,FALSE,FALSE
17,0.0305,0.0345,FALSE,FAIL_NO_CYCLE,FALSE,FALSE
18,0.0305,0.0345,FALSE,FAIL_NO_CYCLE,FALSE,FALSE
19,0.0305,0.0345,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
2,0.043,0.047,FALSE,FAIL_NO_CYCLE,FALSE,FALSE
20,0.0305,0.0345,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
21,0.0305,0.0345,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
22,0.018,0.022,FALSE,FAIL_NO_CYCLE,FALSE,FALSE
23,0.018,0.022,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
24,0.018,0.022,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
25,0.018,0.022,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
26,0.018,0.022,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
27,0.018,0.022,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
28,0.043,0.047,FALSE,FAIL_NO_CYCLE,FALSE,FALSE
29,0.08049999999999999,0.08449999999999999,FALSE,FAIL_NO_CYCLE,FALSE,FALSE
3,0.1055,0.1095,FALSE,FAIL_NO_CYCLE,FALSE,FALSE
30,0.08049999999999999,0.08449999999999999,FALSE,FAIL_NO_CYCLE,FALSE,FALSE
31,0.08049999999999999,0.08449999999999999,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
32,0.08049999999999999,0.08449999999999999,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
33,0.08049999999999999,0.08449999999999999,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
34,0.08049999999999999,0.08449999999999999,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
35,0.1055,0.1095,FALSE,FAIL_NO_CYCLE,FALSE,FALSE
36,0.0305,0.0345,FALSE,FAIL_NO_CYCLE,FALSE,FALSE
37,0.0305,0.0345,FALSE,FAIL_NO_CYCLE,FALSE,FALSE
38,0.0305,0.0345,FALSE,FAIL_NO_CYCLE,FALSE,FALSE
39,0.0305,0.0345,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
4,0.0305,0.0345,FALSE,FAIL_NO_CYCLE,FALSE,FALSE
40,0.0305,0.0345,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
41,0.018,0.022,FALSE,FAIL_NO_CYCLE,FALSE,FALSE
42,0.018,0.022,FALSE,FAIL_NO_CYCLE,FALSE,FALSE
43,0.018,0.022,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
44,0.018,0.022,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
45,0.018,0.022,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
46,0.018,0.022,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
47,0.1055,0.1095,FALSE,FAIL_NO_CYCLE,FALSE,FALSE
48,0.1055,0.1095,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
49,0.1055,0.1095,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
5,0.0305,0.0345,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
50,0.1055,0.1095,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
6,0.0305,0.0345,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
7,0.0305,0.0345,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
8,0.0305,0.0345,FALSE,FAIL_CYCLE_BOTH_SIDES,FALSE,FALSE
9,0.043,0.047,FALSE,FAIL_NO_CYCLE,FALSE,FALSE
